title,date,description,amount,hours,subtotal,discount,rate,rate_ptm,rate_nm,rate_wkn,rate_wkd,rate_wth,rate_ftm,omi,east_oak,down,atrium,broadway,meditation,west_oak,jingletown,up,kitchen,meridian,fdd,rcd,hdd,fd,pd,mrd
2043 Ojah Yoga,2014-07-12,Large Event Cleaning Fee,200,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2043 Ojah Yoga,2014-07-12,On Broadway,205,15,0.1,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2043 Ojah Yoga,2014-07-12,Gallery,85,7.5,0.1,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2044 VIN12 Spring,2014-05-10,Large Party Cleaning Fee,125,,125,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2044 VIN12 Spring,2014-05-10,On Broadway,275,3,825,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2044 VIN12 Spring,2014-05-10,Set Up & Break Down,25,2,50,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2045 LPFI,2014-06-14,Large Party Cleaning Fee,300,,300,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2045 LPFI,2014-06-14,On Broadway,295,4,1180,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2045 LPFI,2014-06-14,Set up / Break Down,35,3,105,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2045 LPFI,2014-06-14,A/V Technician,40,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2046 GenUp Wiser,2014-05-08,A/V Technician,40,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2046 GenUp Wiser,2014-05-08,Set up / Break Down,35,2,70,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2046 GenUp Wiser,2014-05-08,On Broadway,140,3,420,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2046 GenUp Wiser,2014-05-08,Standard Cleaning Fee,150,,150,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2046 GenUp Wiser,2014-05-08,Large Party Cleaning Fee,300,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2047 BACC I,2014-03-26,Standard Cleaning Fee,150,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2047 BACC I,2014-03-26,Large Party Cleaning Fee,300,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2047 BACC I,2014-03-26,On Broadway,140,2.5,350,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2047 BACC I,2014-03-26,Set up / Break Down,35,2,70,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2047 BACC I,2014-03-26,A/V Technician,40,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2048 BACC II,2014-04-30,A/V Technician,40,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2048 BACC II,2014-04-30,Set up / Break Down,35,1.5,52.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2048 BACC II,2014-04-30,Standard Cleaning Fee,150,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2048 BACC II,2014-04-30,Atrium,110,2.5,275,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2048 BACC II,2014-04-30,Large Party Cleaning Fee,300,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2049 BACC III,2014-06-18,Atrium,110,2.5,275,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2049 BACC III,2014-06-18,Standard Cleaning Fee,150,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2049 BACC III,2014-06-18,Large Party Cleaning Fee,300,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2049 BACC III,2014-06-18,Set up / Break Down,35,1.5,52.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2049 BACC III,2014-06-18,A/V Technician,40,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2050 Bootcamp_BusinessInn_pt1,2014-05-28,A/V Technician,40,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2050 Bootcamp_BusinessInn_pt1,2014-05-28,Set up / Break Down,35,2,70,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2050 Bootcamp_BusinessInn_pt1,2014-05-28,On Broadway,140,2.5,350,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2050 Bootcamp_BusinessInn_pt1,2014-05-28,Standard Cleaning Fee,150,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2050 Bootcamp_BusinessInn_pt1,2014-05-28,Large Party Cleaning Fee,300,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2051 Vital Systems,2014-06-05,Atrium,110,2.5,247.5,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2051 Vital Systems,2014-06-05,Standard Cleaning Fee,150,,150,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2051 Vital Systems,2014-06-05,Set-up/Break-down ,30,2,60,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2052 Oak Food Policy Council,2014-05-03,Atrium,175,2.5,393.75,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2052 Oak Food Policy Council,2014-05-03,Standard Cleaning Fee,150,,150,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2052 Oak Food Policy Council,2014-05-03,Set-up/Break-down ,30,2,60,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2053 Global Solutions Party,2014-05-01,Standard Cleaning Fee,150,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2053 Global Solutions Party,2014-05-01,A/V Tech Support (with setup/breakdown time),30,3.5,105,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2054 Tessa Finlev,2014-05-06,Omi Gallery,95,4,380,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2054 Tessa Finlev,2014-05-06,Set-up/Break-down ,25,2,50,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2055 United Roots_Revised,2014-05-24,Gallery,60,4,240,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2055 United Roots_Revised,2014-05-24,Atrium,90,4,360,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2055 United Roots_Revised,2014-05-24,Set-up/Break-down ,50,3.5,175,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2055 United Roots_Revised,2014-05-24,Meridian Room,45,4,comped,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2055 United Roots_Revised,2014-05-24,Downtown,25,4,100,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2055 United Roots_Revised,2014-05-24,Coffee Service - $30/day unlimited use,30,1,30,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2055 United Roots_Revised,2014-05-24,On Broadway,140,7,980,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2055 United Roots_Revised,2014-05-24,A/V Tech Support,30,2,60,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2056 VIN12 Spring_Revised,2014-05-10,On Broadway,275,3,825,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2056 VIN12 Spring_Revised,2014-05-10,Omi Gallery,comped,,comped,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2056 VIN12 Spring_Revised,2014-05-10,Set Up & Break Down,25,2.5,62.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2056 VIN12 Spring_Revised,2014-05-10,Atrium,130,3,390,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2056 VIN12 Spring_Revised,2014-05-10,Large Party Cleaning Fee,500,Flat Fee,500,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2056 VIN12 Spring_Revised,2014-05-10,Jingle Town Lounge Mezzanine,comped,,comped,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2057 OpenOakland,2014-05-31,Set Up & Break Down,50,2,100,,Weekend rate - part time member discount,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2057 OpenOakland,2014-05-31,Atrium,150,5.5,825,,Weekend rate - part time member discount,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2057 OpenOakland,2014-05-31,Standard Cleaning Fee,250,Flat Fee,250,,Weekend rate - part time member discount,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2057 OpenOakland,2014-05-31,On Broadway,255,5.5,1402.5,,Weekend rate - part time member discount,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2058 Vital Systems Revised,2014-06-05,Atrium,110,3,297,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2058 Vital Systems Revised,2014-06-05,Standard Cleaning Fee,150,flat fee,150,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2058 Vital Systems Revised,2014-06-05,Set-up/Break-down ,30,2,60,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2059 Commonwealthclub,2014-09-17,Atrium,195,3.5,682.5,,Non Member Weekday Rate,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2059 Commonwealthclub,2014-09-17,Large Party Cleaning Fee,500,Flat Fee,500,,Non Member Weekday Rate,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2059 Commonwealthclub,2014-09-17,On Broadway,295,3.5,1032.5,,Non Member Weekday Rate,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2059 Commonwealthclub,2014-09-17,Set Up & Break Down,50,2.5,125,,Non Member Weekday Rate,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2059 Commonwealthclub,2014-09-17,A/V Technician,30,2,60,,Non Member Weekday Rate,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2060 EBASE,2014-06-26,Standard Cleaning Fee,250,Flat Fee,250,,Part Time Member Weekday Rate,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2060 EBASE,2014-06-26,Set Up & Break Down,50,2,100,,Part Time Member Weekday Rate,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2060 EBASE,2014-06-26,On Broadway,225,2.5,562.5,,Part Time Member Weekday Rate,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2061 Slow Money,2014-09-12,Atrium,110,1,110,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2061 Slow Money,2014-09-12,Standard Cleaning Fee,250,Flat Fee,250,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2061 Slow Money,2014-09-12,Set Up & Break Down,50,1.75,87.5,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2062 John Pomeroy,2014-05-28,Omi Gallery,60,2,120,,Full Time Member Weekday Rate,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2062 John Pomeroy,2014-05-28,Standard Cleaning Fee,waved,Flat Fee,,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2062 John Pomeroy,2014-05-28,Set Up & Break Down,25,1.5,37.5,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2063 Joanne da Luz,2014-05-28,Set Up & Break Down,25,1.5,37.5,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2063 Joanne da Luz,2014-05-28,Standard Cleaning Fee,waved,Flat Fee,,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2063 Joanne da Luz,2014-05-28,Omi Gallery,60,2,120,,Full Time Member Weekday Rate,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2064 SlowMoney Update,2014-05-28,Atrium,90,3,270,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2064 SlowMoney Update,2014-05-28,Standard Cleaning Fee,waved,Flat Fee,,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2064 SlowMoney Update,2014-05-28,Set Up & Break Down,50,1,50,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2065 FilmUpFilmFest,2014-05-28,Omi Gallery,60,2,120,,Full Time Member Weekday Rate,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2065 FilmUpFilmFest,2014-05-28,Standard Cleaning Fee,waved,Flat Fee,,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2065 FilmUpFilmFest,2014-05-28,Set Up & Break Down,25,1.5,37.5,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2066 BlackGirlsCode,0001-255-255,A/V Technician,40,7,280,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2066 BlackGirlsCode,0001-255-255,Set Up & Break Down,50,7,350,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2066 BlackGirlsCode,0001-255-255,Large Party Cleaning Fee,650,Flat Fee,650,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2066 BlackGirlsCode,0001-255-255,Entire Space,200,20,4000,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2067 Worksafe,2014-06-27,Standard Cleaning Fee,250,Flat Fee,250,,Non-Member Weekday Rate,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2067 Worksafe,2014-06-27,On Broadway,295,2,590,,Non-Member Weekday Rate,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2067 Worksafe,2014-06-27,Set Up & Break Down,50,2,100,,Non-Member Weekday Rate,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2068 OpenOakland,2014-05-31,Standard Cleaning Fee,250,Flat Fee,250,,Weekday Rate - part time member discount,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2068 OpenOakland,2014-05-31,On Broadway,255,5.5,1402.5,,Weekday Rate - part time member discount,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2068 OpenOakland,2014-05-31,Set Up & Break Down,50,1.5,75,,Weekday Rate - part time member discount,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2069 KQED_FilmSalon,2014-04-29,Standard Cleaning Fee,100,Flat Fee,100,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2069 KQED_FilmSalon,2014-04-29,On Broadway,150,2,300,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2069 KQED_FilmSalon,2014-04-29,Set Up & Break Down,50,2,100,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2070 KQED_FilmSalon (2),2014-05-29,Standard Cleaning Fee,100,Flat Fee,100,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2070 KQED_FilmSalon (2),2014-05-29,Set Up & Break Down,50,2,100,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2070 KQED_FilmSalon (2),2014-05-29,On Broadway,150,2,300,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2071 KQED_FilmSalon (3),2014-06-25,Standard Cleaning Fee,100,Flat Fee,100,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2071 KQED_FilmSalon (3),2014-06-25,Set Up & Break Down,50,2,100,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2071 KQED_FilmSalon (3),2014-06-25,On Broadway,150,2,300,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2076 LNA_Beltane,2014-05-17,On Broadway,50,4,200,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2076 LNA_Beltane,2014-05-17,Set Up & Break Down,50,2,Waved,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2076 LNA_Beltane,2014-05-17,Standard Cleaning Fee,50,Flat Fee,50,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2077 BALLE,2014-05-17,Large Party Cleaning Fee,450,Flat Fee,450,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2077 BALLE,2014-05-17,Set Up & Break Down,30,2,60,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2077 BALLE,2014-05-17,A/V Technician,40,4.5,180,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2077 BALLE,2014-05-17,Entire Space,140,3.5,490,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2078 ThirdThursday,2014-06-19,Standard Cleaning Fee,250,Flat Fee,250,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2078 ThirdThursday,2014-06-19,On Broadway,140,3,420,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2078 ThirdThursday,2014-06-19,Set Up & Break Down,50,2,100,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2079 Cinema Club,2014-07-16,Standard Cleaning Fee,250,Flat Fee,250,,Full Time Member Weekday Rate,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
